# observed, predict
27.0000,29.9570
37.0000,38.7419
53.0000,54.2446
67.0000,63.8996
78.0000,68.2776
89.0000,70.2871
81.0000,68.1335
70.0000,62.6757
61.0000,56.3782
42.0000,38.6800
36.0000,33.5539
23.0000,23.9640
22.0000,21.7816
19.0000,20.3903
26.0000,25.8344
31.0000,32.3869
24.0000,26.9310
20.0000,22.8007
39.0000,37.7323
31.0000,31.0205
24.0000,25.2877
27.0000,26.5241
33.0000,32.3955
60.0000,57.4339
103.0000,70.5384
77.0000,67.8254
84.0000,70.0533
85.0000,70.1762
76.0000,67.8916
58.0000,56.6314
53.0000,52.8060
51.0000,49.2407
50.0000,47.0024
44.0000,39.7104
49.0000,45.4419
33.0000,30.6952
33.0000,31.2864
28.0000,27.0372
28.0000,26.8111
28.0000,27.4552
26.0000,26.4519
23.0000,23.6653
22.0000,22.6876
21.0000,22.5281
28.0000,29.3483
20.0000,25.1967
27.0000,29.7885
27.0000,30.2142
39.0000,41.8285
61.0000,60.4627
39.0000,38.7212
37.0000,38.2789
34.0000,35.2839
17.0000,22.9710
17.0000,20.1972
24.0000,24.2779
24.0000,24.9722
25.0000,25.4052
30.0000,29.1999
29.0000,28.1235
35.0000,33.1285
25.0000,24.9900
37.0000,33.9611
28.0000,26.4379
15.0000,18.4762
19.0000,18.6630
27.0000,25.1731
16.0000,18.9772
18.0000,19.2695
20.0000,20.8350
22.0000,23.5116
22.0000,23.6422
30.0000,29.5088
37.0000,35.9415
28.0000,26.9620
26.0000,23.8888
24.0000,22.7280
20.0000,20.3857
20.0000,20.0606
24.0000,23.1221
25.0000,24.8169
29.0000,28.3236
30.0000,29.3295
36.0000,34.3528
28.0000,27.3190
29.0000,26.8473
34.0000,30.6320
34.0000,31.4217
42.0000,39.2355
46.0000,41.6368
57.0000,52.7618
71.0000,61.9462
53.0000,45.5908
67.0000,59.7690
59.0000,54.2574
68.0000,62.0484
72.0000,63.2279
72.0000,62.7872
79.0000,65.4408
83.0000,66.2263
55.0000,46.9043
46.0000,41.9104
51.0000,48.7348
60.0000,57.7298
52.0000,49.0443
50.0000,48.0823
55.0000,53.4607
67.0000,63.1895
75.0000,67.0410
75.0000,67.2227
83.0000,69.3537
106.0000,70.9258
118.0000,71.1004
85.0000,69.4852
90.0000,69.9820
92.0000,70.0126
88.0000,69.6635
87.0000,69.5375
112.0000,70.5990
91.0000,69.7453
95.0000,69.9680
115.0000,70.5018
167.0000,70.3444
154.0000,69.8802
119.0000,69.4663
106.0000,68.9519
85.0000,67.6182
112.0000,67.8233
106.0000,66.6959
90.0000,65.5125
75.0000,64.4173
60.0000,61.6982
62.0000,63.4844
36.0000,43.1247
26.0000,33.5330
20.0000,27.1490
25.0000,28.4137
30.0000,32.7229
35.0000,38.1835
32.0000,35.6858
41.0000,44.3916
46.0000,49.0726
52.0000,55.1917
54.0000,56.4638
62.0000,62.6481
70.0000,66.3971
81.0000,69.5147
64.0000,61.7636
57.0000,58.0833
45.0000,45.9726
39.0000,40.5378
51.0000,52.8798
58.0000,58.4988
