# observed, predict
17.0000,17.1571
13.0000,14.6591
12.0000,13.3508
18.0000,16.3834
24.0000,21.3262
16.0000,17.2469
25.0000,21.7926
22.0000,20.8359
25.0000,22.7148
27.0000,24.3197
42.0000,37.7012
43.0000,37.4635
31.0000,26.0494
27.0000,23.2795
22.0000,20.4257
24.0000,21.4882
21.0000,20.1647
19.0000,19.0167
18.0000,18.3849
21.0000,19.9691
21.0000,20.1815
28.0000,25.0473
23.0000,21.9727
13.0000,16.1110
16.0000,15.9664
15.0000,15.8148
20.0000,18.7736
19.0000,19.0421
20.0000,19.5113
28.0000,25.3441
33.0000,30.4170
46.0000,43.3479
50.0000,45.9782
41.0000,36.3307
33.0000,29.5648
36.0000,31.9120
33.0000,29.4020
30.0000,27.0502
34.0000,30.4817
28.0000,25.7744
39.0000,35.3337
23.0000,23.5012
15.0000,17.8712
14.0000,15.9251
26.0000,22.6939
31.0000,28.1517
23.0000,22.4343
26.0000,23.6944
36.0000,32.4199
27.0000,25.4815
16.0000,18.8510
21.0000,20.3295
28.0000,26.4812
48.0000,47.1880
45.0000,42.4631
32.0000,30.4478
23.0000,23.8215
23.0000,22.4387
32.0000,29.2680
32.0000,30.3832
34.0000,31.8595
22.0000,23.5636
27.0000,24.9877
17.0000,19.1067
13.0000,15.5178
26.0000,22.7001
39.0000,36.7965
31.0000,29.5765
32.0000,29.4365
39.0000,35.9446
32.0000,29.4589
16.0000,19.4210
19.0000,18.5830
24.0000,22.0993
20.0000,21.1274
22.0000,22.2851
27.0000,25.9791
19.0000,20.9092
27.0000,24.6456
35.0000,32.3987
20.0000,22.2533
32.0000,29.1769
27.0000,25.8912
24.0000,23.1809
21.0000,20.7516
29.0000,25.6970
27.0000,25.1970
17.0000,19.4455
22.0000,21.2311
26.0000,24.7748
18.0000,20.3828
15.0000,17.5656
16.0000,17.0070
32.0000,28.0746
55.0000,50.8003
22.0000,23.9266
18.0000,18.6624
16.0000,16.7015
10.0000,13.3323
11.0000,13.0306
11.0000,13.0909
9.0000,12.0765
10.0000,12.2372
24.0000,21.0375
17.0000,18.5697
21.0000,20.1082
15.0000,16.8756
21.0000,19.2636
17.0000,17.6971
20.0000,18.8394
23.0000,21.1716
39.0000,35.4290
41.0000,36.5010
27.0000,24.3564
22.0000,21.0476
20.0000,19.7769
19.0000,18.9789
19.0000,18.8106
38.0000,33.9482
40.0000,35.7921
40.0000,33.9336
35.0000,29.4266
28.0000,24.2215
28.0000,24.4014
19.0000,19.2665
26.0000,23.0738
17.0000,18.7570
31.0000,27.2683
53.0000,49.2724
41.0000,35.3596
28.0000,25.0429
32.0000,28.5706
37.0000,33.8496
21.0000,23.0633
18.0000,19.7373
18.0000,18.5883
19.0000,18.7126
22.0000,20.7673
15.0000,17.4432
17.0000,17.7234
16.0000,17.5549
16.0000,17.7413
29.0000,26.6100
28.0000,27.1802
31.0000,28.8982
27.0000,25.3886
61.0000,53.3661
75.0000,63.6234
69.0000,58.9680
54.0000,45.7675
30.0000,28.2333
48.0000,44.8767
63.0000,58.5832
63.0000,56.2371
56.0000,48.6931
58.0000,51.1955
51.0000,43.7829
38.0000,32.0314
37.0000,32.4978
61.0000,55.4780
32.0000,29.1430
23.0000,21.7568
20.0000,19.8815
22.0000,20.8305
22.0000,21.9323
27.0000,26.3816
39.0000,38.8858
42.0000,41.9671
32.0000,32.8378
28.0000,29.8249
15.0000,21.1546
22.0000,22.1042
20.0000,21.9095
31.0000,30.7743
20.0000,24.4883
37.0000,36.7341
61.0000,59.0020
49.0000,44.4254
65.0000,59.5806
52.0000,46.1175
41.0000,36.4434
33.0000,30.7148
32.0000,29.5451
24.0000,23.4440
24.0000,22.8076
56.0000,51.3000
41.0000,37.0408
20.0000,22.6715
25.0000,24.3487
25.0000,24.3180
29.0000,27.2833
18.0000,20.3487
19.0000,19.1208
21.0000,20.1834
6.0000,13.7289
8.0000,11.7593
32.0000,28.3641
15.0000,19.9712
20.0000,21.4023
49.0000,46.8367
52.0000,49.8252
39.0000,36.0020
32.0000,29.5938
30.0000,27.7595
70.0000,58.2296
69.0000,60.9762
63.0000,55.1497
48.0000,41.2533
40.0000,34.9157
36.0000,32.0104
41.0000,37.1072
44.0000,40.4502
30.0000,28.0251
23.0000,22.4827
27.0000,24.6425
23.0000,22.1968
22.0000,21.1667
33.0000,30.2069
32.0000,29.9446
42.0000,39.7805
46.0000,43.8655
56.0000,54.3701
32.0000,32.4538
34.0000,32.1269
38.0000,36.3587
70.0000,62.7913
47.0000,43.1300
52.0000,50.6785
32.0000,33.0435
33.0000,32.3232
20.0000,23.4086
27.0000,26.1375
23.0000,24.3396
24.0000,24.2553
25.0000,24.6728
27.0000,25.8826
28.0000,26.6368
28.0000,26.6696
29.0000,27.7254
23.0000,24.0039
18.0000,20.8811
22.0000,22.4303
13.0000,17.9886
12.0000,15.7210
14.0000,16.1304
16.0000,17.3361
24.0000,23.1565
33.0000,32.1506
26.0000,27.1504
24.0000,24.2210
31.0000,28.6501
19.0000,20.7017
18.0000,18.6277
15.0000,16.5438
16.0000,16.6326
19.0000,18.4678
18.0000,18.5275
20.0000,19.6811
23.0000,21.8748
25.0000,23.6533
28.0000,25.8259
27.0000,24.9289
29.0000,26.0292
23.0000,21.8835
16.0000,17.2623
15.0000,15.6919
20.0000,18.2871
27.0000,24.2744
25.0000,24.0794
29.0000,26.8845
29.0000,26.9935
37.0000,33.6217
45.0000,40.9338
54.0000,48.6186
59.0000,52.1875
48.0000,39.4807
55.0000,47.6375
69.0000,60.3069
61.0000,51.2881
38.0000,31.8187
23.0000,22.5217
31.0000,27.8577
29.0000,27.2282
35.0000,32.7556
42.0000,39.6196
43.0000,38.9412
51.0000,46.5199
59.0000,54.2248
40.0000,34.9083
40.0000,35.4463
49.0000,46.2627
51.0000,47.6994
61.0000,58.3286
67.0000,62.9676
69.0000,64.3662
96.0000,71.5183
110.0000,72.5471
61.0000,55.3810
57.0000,55.2494
53.0000,51.1570
46.0000,43.3277
43.0000,40.0036
45.0000,42.2634
45.0000,42.6404
40.0000,38.5536
24.0000,27.4119
25.0000,27.3336
35.0000,36.1758
33.0000,34.7984
21.0000,25.8063
26.0000,27.5888
24.0000,26.5615
42.0000,43.7279
44.0000,45.6053
39.0000,39.7985
36.0000,37.2497
40.0000,41.0952
29.0000,31.8680
31.0000,32.8906
27.0000,29.6654
37.0000,37.6619
53.0000,53.8338
67.0000,63.4080
78.0000,67.8315
89.0000,70.3664
81.0000,68.0724
70.0000,61.4783
61.0000,53.9777
42.0000,36.8964
36.0000,32.6592
23.0000,23.9471
22.0000,21.9286
19.0000,20.2705
26.0000,25.4990
31.0000,31.6456
24.0000,26.6467
20.0000,22.7854
39.0000,37.7628
31.0000,30.8472
24.0000,24.7908
27.0000,26.1348
33.0000,31.9240
60.0000,57.9907
103.0000,71.2987
77.0000,67.1357
84.0000,70.5000
85.0000,70.6917
76.0000,67.5395
58.0000,52.7728
53.0000,48.8794
51.0000,47.4180
50.0000,45.5133
44.0000,38.9741
49.0000,44.6394
33.0000,30.6485
33.0000,30.4453
28.0000,27.1410
28.0000,26.8015
28.0000,27.5522
26.0000,26.2976
23.0000,24.0330
22.0000,22.9297
21.0000,22.6615
28.0000,28.8757
20.0000,24.8653
27.0000,29.0451
27.0000,29.7513
39.0000,40.5468
61.0000,60.5302
39.0000,38.1833
37.0000,36.1649
34.0000,33.6307
17.0000,22.2161
17.0000,19.4947
24.0000,23.2165
24.0000,24.2251
25.0000,24.9976
30.0000,28.3836
29.0000,27.6247
35.0000,32.2951
25.0000,24.7933
37.0000,33.5858
28.0000,26.5305
15.0000,18.3547
19.0000,18.5944
27.0000,24.3082
16.0000,18.9413
18.0000,18.5799
20.0000,20.2366
22.0000,22.0662
22.0000,22.6897
30.0000,28.5997
37.0000,34.8703
28.0000,26.6578
26.0000,23.9139
24.0000,22.4207
20.0000,19.9866
20.0000,19.7891
24.0000,22.5554
25.0000,24.0517
29.0000,27.4330
30.0000,28.2513
36.0000,33.4116
28.0000,26.6620
29.0000,26.5109
34.0000,30.3073
34.0000,30.3893
42.0000,37.9755
46.0000,41.0533
57.0000,51.6287
71.0000,61.9191
53.0000,43.3347
67.0000,58.4231
59.0000,51.8777
68.0000,60.7651
72.0000,63.2658
72.0000,62.4919
79.0000,66.0676
83.0000,67.2471
55.0000,44.9031
46.0000,39.2849
51.0000,47.5582
60.0000,56.8365
52.0000,47.2243
50.0000,45.9662
55.0000,52.4703
67.0000,62.7171
75.0000,66.8345
75.0000,67.3389
83.0000,70.0100
106.0000,72.0046
118.0000,72.3834
85.0000,70.9507
90.0000,71.6159
92.0000,71.6818
88.0000,71.4369
87.0000,71.3460
112.0000,72.5291
91.0000,71.7479
95.0000,72.0245
115.0000,72.5583
167.0000,72.7149
154.0000,72.4028
119.0000,71.9964
106.0000,71.7079
85.0000,70.5094
112.0000,71.4075
106.0000,70.9495
90.0000,70.1526
75.0000,68.5796
60.0000,63.3610
62.0000,65.6824
36.0000,42.4948
26.0000,33.1309
20.0000,27.0430
25.0000,28.3105
30.0000,32.6769
35.0000,37.9015
32.0000,35.2982
41.0000,43.6118
46.0000,47.9457
52.0000,53.3412
54.0000,54.5758
62.0000,61.5844
70.0000,66.3043
81.0000,70.2346
64.0000,59.9981
57.0000,55.6809
45.0000,44.3801
39.0000,39.3671
51.0000,51.8758
58.0000,57.4478
53.0000,50.5281
60.0000,57.0113
55.0000,50.1668
36.0000,32.2848
35.0000,31.8150
34.0000,32.1856
27.0000,27.4521
25.0000,26.3072
25.0000,26.7214
21.0000,24.4978
29.0000,30.4984
27.0000,30.0519
19.0000,24.4244
22.0000,24.8598
29.0000,30.4008
27.0000,29.5575
28.0000,29.8652
29.0000,30.1060
44.0000,44.1219
44.0000,43.0493
37.0000,36.1370
44.0000,43.4025
51.0000,50.0264
46.0000,43.4199
49.0000,46.1807
33.0000,31.8518
43.0000,40.0877
47.0000,43.8350
37.0000,33.3228
35.0000,31.5451
25.0000,24.5391
26.0000,24.6210
23.0000,22.9377
28.0000,26.2414
24.0000,23.8442
24.0000,23.6063
25.0000,24.4783
24.0000,23.9881
39.0000,37.5151
38.0000,37.0483
46.0000,44.8226
36.0000,35.1819
46.0000,44.8025
29.0000,30.3615
39.0000,38.0379
53.0000,52.4902
44.0000,40.9314
41.0000,38.3867
40.0000,38.0701
31.0000,30.4169
21.0000,23.1432
26.0000,24.6962
21.0000,21.7637
21.0000,21.1013
28.0000,26.2266
21.0000,22.0923
17.0000,18.9507
18.0000,18.5503
10.0000,14.7441
15.0000,16.0189
26.0000,24.1489
14.0000,18.8599
19.0000,19.6247
26.0000,24.7402
34.0000,32.1412
24.0000,25.3521
20.0000,21.4954
17.0000,19.1238
39.0000,35.7352
47.0000,45.3965
38.0000,34.6066
37.0000,32.5964
49.0000,44.6284
55.0000,49.6018
30.0000,27.6699
34.0000,29.4543
24.0000,22.9990
21.0000,20.1578
